model,accuracy,f1,precision,recall,mcc,auc
SSW,0.6923437683198499,0.22641509433962265,0.13450087565674257,0.7150837988826816,0.208922780683785,0.7464669045209082
SSW,0.6737014890374018,0.20508426163953158,0.11978645311978646,0.7123015873015873,0.18945583243688352,0.7351086634030559
SSW,0.6690116074569117,0.18668971477960244,0.108,0.6878980891719745,0.170197483900777,0.7296634959178652
SSW,0.6732325008793528,0.19798561151079136,0.11617696724079703,0.669260700389105,0.17133233095715045,0.7276568010855132
NNs,0.6923437683198499,0.22641509433962265,0.13450087565674257,0.7150837988826816,0.208922780683785,0.7464512930062279
NNs,0.6737014890374018,0.20508426163953158,0.11978645311978646,0.7123015873015873,0.18945583243688352,0.7346925530336745
NNs,0.646382928831047,0.18176885512750948,0.104199066874028,0.7112526539278131,0.16677636151285827,0.7292234800878346
NNs,0.6732325008793528,0.19798561151079136,0.11617696724079703,0.669260700389105,0.17133233095715045,0.7275290008277282
NNs Average,0.6714151717669129,0.20281345565436376,0.1186658407228385,0.7019746851252968,0.1841218263976693,0.7344740817388663
SSW Average,0.677072341423379,0.204043670567387,0.11961607400433151,0.6961360439363371,0.18497710699464898,0.7347239662318357
